Destination,Region,Country,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,tourism_type,culture_tags,category_clean,season_tag
Rome,Lazio,Italy,City,41.902782,12.496366,14 million,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",touristy,"capital city, historic, landmarks",city,spring
Florence,Tuscany,Italy,City,43.769581,11.255772,10 million,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A Renaissance city famous for its art, architecture, and historical significance.","Home to world-class museums, including the Uffizi Gallery and Michelangelo?s David.",moderate,historic,city,spring
Venice,Veneto,Italy,City,45.435559,12.336196,10 million,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A unique city built on canals, known for its gondolas, Piazza San Marco, and Doge's Palace.","An iconic city of water, renowned for romantic gondola rides and historic landmarks.",moderate,general tourism,city,spring
Milan,Lombardy,Italy,City,45.464643,9.18854,7 million,Euro,Roman Catholic,"Risotto, Ossobuco, Panettone",Italian,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","A fashion capital known for its shopping, museums, and historical landmarks.","A modern city with an ancient soul, featuring La Scala and the Duomo di Milano.",moderate,"capital city, historic, landmarks",city,spring
Naples,Campania,Italy,City,40.85133,14.25472,5 million,Euro,Roman Catholic,"Pizza, Pasta, Cannoli",Italian,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A vibrant city known for its delicious food, historical sites, and stunning coastline.","Famous for pizza, Pompeii, and proximity to the Amalfi Coast.",moderate,historic,city,spring
Cinque Terre,Liguria,Italy,Coastal Town,44.131811,9.653342,3 million,Euro,Roman Catholic,"Seafood, Pesto",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of crowds","A group of five colorful villages along the Italian Riviera, known for their stunning landscapes and hiking.",Scenic coastal towns connected by breathtaking hiking trails and beaches.,less touristy,general tourism,coastal town,spring
Amalfi Coast,Campania,Italy,Coastal Region,40.652843,14.495831,2 million,Euro,Roman Catholic,"Seafood, Limoncello",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of crowds","A picturesque coastline with charming towns, stunning cliffs, and beautiful beaches.","Famous for its steep cliffs, coastal towns, and lemon groves, offering breathtaking views of the Mediterranean.",less touristy,"beaches, beaches",coastal region,spring
Pisa,Tuscany,Italy,City,43.715899,10.996557,1.5 million,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"Famous for its Leaning Tower, but also offers other historical attractions and beautiful scenery.","Known for the iconic Leaning Tower of Pisa, as well as its Romanesque architecture.",less touristy,historic,city,spring
Lake Como,Lombardy,Italy,Lake,45.831894,9.237083,1 million,Euro,Roman Catholic,"Seafood, Pasta",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A beautiful lake surrounded by mountains, popular for boating, hiking, and relaxing.","A luxury retreat for the elite, featuring serene waters and mountain landscapes.",less touristy,general tourism,lake,spring
Verona,Veneto,Italy,City,45.439559,10.996557,1 million,Euro,Roman Catholic,"Pizza, Pasta, Risotto",Italian,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A romantic city known for its Shakespearean connection, Arena di Verona, and beautiful architecture.","Famous for being the setting of ""Romeo and Juliet"" and its well-preserved Roman amphitheater.",less touristy,romantic,city,spring
Barcelona,Catalonia,Spain,City,41.385064,2.173135,12.7 million,Euro,Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Gell.",touristy,"beaches, beaches, nightlife",city,spring
Madrid,Community of Madrid,Spain,City,40.416775,-3.70379,7 million,Euro,Roman Catholic,"Tapas, Tortilla Espa¤ola, Jam¢n Ibrico",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",moderate,"capital city, historic, landmarks",city,spring
Seville,Andalusia,Spain,City,37.38908,-5.98398,3.5 million,Euro,Roman Catholic,"Tapas, Gazpacho, Flamenco",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A historic city famous for its Moorish architecture, flamenco dancing, and vibrant festivals.","The heart of Andalusian culture, with stunning landmarks like the Alc zar and the Seville Cathedral.",less touristy,historic,city,spring
Valencia,Valencian Community,Spain,City,39.472925,-0.378464,2.5 million,Euro,Roman Catholic,"Paella, Horchata, Churros",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A coastal city known for its City of Arts and Sciences complex, beautiful beaches, and delicious cuisine.","The birthplace of paella, with a mix of futuristic and historic architecture.",less touristy,"beaches, beaches",city,spring
Granada,Andalusia,Spain,City,37.187222,-3.60531,2 million,Euro,Roman Catholic,"Tapas, Gazpacho, Flamenco",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A historic city famous for its Alhambra palace, Albaic¡n neighborhood, and vibrant nightlife.",Known for the magnificent Alhambra palace and stunning Moorish architecture.,less touristy,"historic, nightlife",city,spring
M laga,Andalusia,Spain,City,36.720161,-4.421234,2 million,Euro,Roman Catholic,"Tapas, Gazpacho, Espetos",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A coastal city known for its beautiful beaches, historic center, and Picasso Museum.","Birthplace of Picasso, featuring stunning beaches and a lively port.",less touristy,"historic, beaches, beaches",city,spring
Bilbao,Basque Country,Spain,City,43.257158,-2.936487,1.5 million,Euro,Roman Catholic,"Pintxos, Bacalao al pil-pil",Spanish (and Basque),Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A modern city known for its Guggenheim Museum, vibrant atmosphere, and delicious pintxos.","An industrial city turned cultural hotspot, home to the iconic Guggenheim Museum.",less touristy,general tourism,city,spring
Ibiza,Balearic Islands,Spain,Island,38.901776,1.433135,8 million,Euro,Roman Catholic,"Paella, Tapas, Ensalada Rusa",Spanish,Summer (June-September),Medium-high,"Generally safe, but be aware of pickpockets","A popular island destination known for its beaches, nightlife, and electronic music scene.","World-famous for its beaches and nightclubs, a top destination for summer parties.",moderate,"beaches, beaches, island, nightlife",island,summer
Majorca,Balearic Islands,Spain,Island,39.363371,3.014272,12 million,Euro,Roman Catholic,"Paella, Ensalada Mallorquina, Sobrasada",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","A popular island destination known for its beautiful beaches, historical sites, and hiking trails.","A serene island getaway, with picturesque beaches, mountains, and historic sites like the Palma Cathedral.",touristy,"historic, beaches, beaches, island",island,spring
San Sebasti n,Basque Country,Spain,City,43.317915,-1.959563,1 million,Euro,Roman Catholic,"Pintxos, Bacalao al pil-pil",Spanish (and Basque),Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A coastal city known for its beautiful beaches, delicious pintxos, and vibrant atmosphere.","Renowned for its food scene, with pristine beaches and picturesque Old Town streets.",less touristy,"beaches, beaches",city,spring
Paris,?le-de-France,France,City,48.856614,2.352222,35-40 million,Euro,Roman Catholic,"Croissants, Baguettes, Cheese",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","Home to iconic landmarks like the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral.","A city of art, fashion, and culture, featuring world-famous landmarks and museums.",moderate,landmarks,city,spring
Nice,Provence-Alpes-Cte d'Azur,France,Coastal City,43.703761,7.268731,4 million,Euro,Roman Catholic,"Nioise salad, Socca, Panisses",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","Known for its beaches, Mediterranean climate, and vibrant nightlife.",A coastal gem with a beautiful Promenade des Anglais and stunning views of the French Riviera.,less touristy,"beaches, beaches, nightlife",coastal city,spring
Marseille,Provence-Alpes-Cte d'Azur,France,Coastal City,43.296168,5.370254,3.5 million,Euro,Roman Catholic,"Bouillabaisse, Aoli, Panisse",French,Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","The second-largest city in France, known for its historical Old Port, MuCEM museum, and Calanques park.","A city rich in history and culture, with a vibrant port and stunning coastal landscapes.",less touristy,historic,coastal city,spring
Lyon,Auvergne-Rhne-Alpes,France,City,45.764048,4.835656,2 million,Euro,Roman Catholic,"Quiche Lorraine, Lyonnaise salad, Canel",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","A culinary capital with renowned restaurants, historic architecture, and the confluence of two rivers.","Famous for its gastronomy, vibrant old town, and Renaissance architecture.",less touristy,"capital city, historic",city,spring
Bordeaux,Nouvelle-Aquitaine,France,City,44.837789,-0.57918,1.5 million,Euro,Roman Catholic,"Canel, Cassoulet, Foie gras",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","A city famous for its wine production, historic center, and Cit du Vin museum.","Renowned for its vineyards and wine, as well as its charming 18th-century architecture.",less touristy,historic,city,spring
Strasbourg,Grand Est,France,City,48.572935,7.751936,1 million,Euro,Roman Catholic,"Quiche Lorraine, Choucroute, Bredele",French (and German),Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","A charming city with a medieval Old Town, Gothic cathedral, and Christmas markets.","Located on the border with Germany, Strasbourg has a unique blend of French and German cultures.",less touristy,historic,city,spring
Cannes,Provence-Alpes-Cte d'Azur,France,Coastal City,43.542333,7.02427,"800,000",Euro,Roman Catholic,"Bouillabaisse, Aoli, Panisse",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but be aware of pickpockets","A glamorous coastal city known for its film festival, luxury shopping, and beautiful beaches.","World-famous for the Cannes Film Festival, featuring stunning views of the Mediterranean Sea.",moderate,"beaches, beaches",coastal city,spring
Mont Saint-Michel,Normandy,France,Island,48.636111,-1.504444,3.5 million,Euro,Roman Catholic,"Seafood, Crepes",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A UNESCO World Heritage Site, famous for its abbey perched on a tidal island.",A breathtaking medieval island commune with a stunning abbey and winding streets.,less touristy,"island, UNESCO heritage",island,spring
Loire Valley,Centre-Val de Loire,France,Region,47.6268,-0.9361,10 million (region-wide),Euro,Roman Catholic,"Croque-monsieur, French onion soup",French,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A region known for its stunning chateaux, vineyards, and picturesque landscapes.","Known for its many chteaux and vineyards, a scenic getaway filled with history and beauty.",moderate,general tourism,region,spring
French Alps,Auvergne-Rhne-Alpes,France,Mountain Range,45.192308,6.619079,12 million (region-wide),Euro,Roman Catholic,"Fondue, Raclette, Tartiflette",French,"Winter (Dec-Mar) for skiing, Summer (Jun-Sept)",Medium-high,Generally safe,"A mountainous region offering skiing, hiking, and other outdoor activities.","A haven for outdoor enthusiasts, famous for its ski resorts and stunning alpine scenery.",moderate,general tourism,mountain range,summer
